"Installment Price","Installment Price"
"Interest Rate Initial (%)","Interest Rate Initial (%)"
"Interest Rate Incremental (%)","Interest Rate Incremental (%)"
"Number","Number"
"Max Without Interest","Max Without Interest"
"Is Enabled on Listing?","Is Enabled on Listing?"
"Show only last on Listing?","Show only last on Listing?"
"Is Enabled on Product page?","Is Enabled on Product page?"
"Show only last on Product Page?","Show only last on Product Page?"
"%qty time of %total","%qty time of %total"
"%qty times of %price with an interest rate of %interest_rate% per month (%interest_amount of interest) totalizing %total","%qty times of %price with an interest rate of %interest_rate% per month (%interest_amount of interest) totalizing %total"
"%qty times of %price without interest totalizing %total","%qty times of %price without interest totalizing %total"
